,,,,,,,,,,
FACE POWDER,,,,,,,,,,
202307,,,,,,,,,,
対象メーカー,対象製品,容量,ECプラットフォーム,年月,店舗タイプ,店舗名,金額規模（元）,販売量規模（個数）,取引個数単価（元/1本あたり）,最低取引個数単価（元/1本あたり）
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,yoyo美妆芭比家,35970.0,220,163.5,208.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,常青藤代购,32774.3,170,192.79000000000002,199.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,小怪兽的代购小铺,32532.0,207,157.15942028985506,158.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,阿盼盼家,30584.0,198,154.46464646464648,148.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,还是那个屠苏,29200.0,196,148.9795918367347,145.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,一颗大栗子gogogo,26346.0,112,235.23214285714286,248.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,雅米妈妈海外购 大牌自由,24210.0,140,172.92857142857142,218.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,SHIDUOMA拾掇妈 是你宝藏,24124.0,148,163.0,163.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,榴莲菠萝妹top women美妆只此一家,23607.0,183,129.0,129.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,SMZLIN 好物严选,23600.0,200,118.0,118.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,正能量满满的搬运工,20625.0,165,125.0,125.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,小木家美妆 (原小木香港站),20349.0,63,323.0,303.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,丹妮全球购严选店,19980.0,108,185.0,185.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,元气少女代购店,19092.0,129,148.0,148.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,魔女宅急便 全球站,17474.0,114,153.28070175438597,155.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,兮范美妆,16445.72,104,158.1319230769231,153.99
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,糊糊的買手店,15598.0,90,173.3111111111111,175.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,有Bigger的代购,15080.0,104,145.0,145.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,涵妈乐居,13228.0,83,159.3734939759036,215.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,d[s118726590],11704.0,56,209.0,209.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,d[s127808127],11450.0,78,146.7948717948718,150.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,全球购官方严选店,10812.0,68,159.0,159.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,糖果韩免美妆,10006.0,70,142.94285714285715,142.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,呆瓜小伙伴,9620.0,65,148.0,148.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,Lucky iFashion,9381.0,59,159.0,159.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,疯胖开的店,8500.0,50,170.0,170.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,全球购官方店,8427.0,53,159.0,159.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,晚点的小女巫,8320.0,40,208.0,208.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,d[s243355609],7950.0,30,265.0,265.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,香香猪呆呆GO,7623.0,48,158.8125,158.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,开名TM,7555.0,34,222.2058823529412,220.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,跟着果妈买买买,7095.0,43,165.0,165.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,安安爱可乐呀,6888.0,41,168.0,168.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,西米的珍宝,4381.0,13,337.0,337.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,BABY SHOP松松的店,3770.0,26,145.0,145.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,美丽人国际店,3564.0,33,108.0,108.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,薏米的代购小铺,3510.0,26,135.0,135.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,小乖美货,3476.0,22,158.0,158.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,小福不发福,3476.0,22,158.0,158.0
DECORTE,FACE POWDER,20g,Taobao,2023-07-01,C2C,星星xin,3335.0,23,145.0,145.0
DECORTE,FACE POWDER,20g,Tmall,2023-07-01,FSS,黛珂官方旗舰店,837900.0,2205,380.0,380.0
DECORTE,FACE POWDER,20g,Tmall,2023-07-01,EKA,天猫国际自营全球超级店,739897.0,3903,189.5713553676659,199.0
DECORTE,FACE POWDER,20g,Tmall,2023-07-01,EKA,天猫国际自营妙颜社,388107.0,1943,199.7462686567164,189.0
DECORTE,FACE POWDER,20g,合计,2023-07-01,合计,合计,5049140.92,25945,194.60940142609365,199.0
,,,,,,,,,,
,,,,,,,,,,
LIPOSOME  ADVANCED REPAIR SERUM,,,,,,,,,,
202307,,,,,,,,,,
対象メーカー,対象製品,容量,ECプラットフォーム,年月,店舗タイプ,店舗名,金額規模（元）,販売量規模（個数）,取引個数単価（元/1本あたり）,最低取引個数単価（元/1本あたり）
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Douyin,2023-07-01,EDT,茂业百货卖场,469.0,1,469.0,469.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,JD,2023-07-01,EKA_FSS,DECORTE黛珂京东自营官方旗舰店,9849.0,21,469.0,469.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Taobao,2023-07-01,C2C,大蜜蜜美妆,20794.0,64,324.90625,310.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Taobao,2023-07-01,C2C,欢欢的日本代购店,2568.0,6,428.0,428.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Taobao,2023-07-01,C2C,荣妈美妆店,2556.0,6,426.0,426.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Taobao,2023-07-01,C2C,疯胖开的店,2340.0,6,390.0,390.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Taobao,2023-07-01,C2C,新一家日本代购 现货店,1872.0,4,468.0,468.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Taobao,2023-07-01,C2C,葫芦架生活馆,1035.0,3,345.0,345.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Taobao,2023-07-01,C2C,魔女宅急便 全球站,975.0,3,325.0,325.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Tmall,2023-07-01,FSS,黛珂官方旗舰店,30656.0,64,479.0,479.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Tmall,2023-07-01,EKA,天猫国际自营全球超级店,23070.0,50,461.4,459.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,Tmall,2023-07-01,EKA,天猫国际自营妙颜社,978.0,2,489.0,489.0
DECORTE,LIPOSOME  ADVANCED REPAIR SERUM,50ml,合计,2023-07-01,合计,合计,97162.0,230,422.44347826086954,459.0
,,,,,,,,,,
,,,,,,,,,,
PRIME LATTE,,,,,,,,,,
202307,,,,,,,,,,
対象メーカー,対象製品,容量,ECプラットフォーム,年月,店舗タイプ,店舗名,金額規模（元）,販売量規模（個数）,取引個数単価（元/1本あたり）,最低取引個数単価（元/1本あたり）
DECORTE,PRIME LATTE,150ml,Douyin,2023-07-01,EDT,全球优选超值店,822348.0,5172,159.0,
DECORTE,PRIME LATTE,150ml,Douyin,2023-07-01,EDT,铃宇专营店,81408.0,512,159.0,159.0
DECORTE,PRIME LATTE,150ml,JD,2023-07-01,EKA,黛珂（COSME DECORTE）京东自营专区,383859.0,2031,189.0,189.0
DECORTE,PRIME LATTE,150ml,JD,2023-07-01,EKA,京东国际会员店（自营）,234171.0,1239,189.0,189.0
DECORTE,PRIME LATTE,150ml,JD,2023-07-01,EKA_FSS,DECORTE黛珂京东自营官方旗舰店,162729.0,861,189.0,189.0
DECORTE,PRIME LATTE,150ml,JD,2023-07-01,EKA,京东国际进口美妆自营免税店,154422.6,798,193.51203007518797,189.0
DECORTE,PRIME LATTE,150ml,JD,2023-07-01,EDT,菲凡华林海外旗舰店,99603.0,527,189.0,189.0
DECORTE,PRIME LATTE,150ml,JD,2023-07-01,EDT,TakeHappy海外旗舰店,93177.0,493,189.0,189.0
DECORTE,PRIME LATTE,150ml,Pin duo duo,2023-07-01,EDT,花蜜美妆海外专营店,53742.0,338,159.0,159.0
DECORTE,PRIME LATTE,150ml,Pin duo duo,2023-07-01,EDT,赛亚美妆海外专营店,42612.0,268,159.0,159.0
DECORTE,PRIME LATTE,150ml,Pin duo duo,2023-07-01,EDT,蔻斯化妆品进口专营店,39432.0,248,159.0,159.0
DECORTE,PRIME LATTE,150ml,Pin duo duo,2023-07-01,EDT,和兴隆美妆海外专营店,35457.0,223,159.0,159.0
DECORTE,PRIME LATTE,150ml,Pin duo duo,2023-07-01,EDT,欣颜美妆海外专营店,19239.0,121,159.0,159.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,Anan海外购,106486.0,580,183.59655172413792,149.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,疯胖开的店,52636.0,368,143.0326086956522,149.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,宁宁妈买买买,37067.0,258,143.6705426356589,149.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,艾玛家韩国代购,32333.0,217,149.0,149.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,小异地DayGo,30057.0,233,129.0,129.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,雅米妈妈海外购 大牌自由,25584.0,141,181.4468085106383,149.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,荣妈美妆店,23749.0,165,143.93333333333334,149.0
DECORTE,PRIME LATTE,150ml,Taobao,2023-07-01,C2C,小木家美妆 (原小木香港站),17912.0,70,255.88571428571427,149.0
